hidden_size,num_layers,activation,loss_fn,optimizer,lr,gamma,epsilon_decay,batch_size,target_update,use_target_network,use_replay,double_dqn,epsilon,collisions,reward,steps,success,ablation,varied
128,2,relu,mse,adam,0.001,0.9,0.995,64,100,True,True,False,1.0,0,55.699999999999996,10,1,baseline,baseline
128,2,leaky_relu,mse,adam,0.001,0.9,0.995,64,100,True,True,False,1.0,0,55.699999999999996,10,1,activation,leaky_relu
128,2,tanh,mse,adam,0.001,0.9,0.995,64,100,True,True,False,1.0,0,55.00000000000001,10,1,activation,tanh
128,2,sigmoid,mse,adam,0.001,0.9,0.995,64,100,True,True,False,1.0,0,55.699999999999996,10,1,activation,sigmoid
128,2,relu,huber,adam,0.001,0.9,0.995,64,100,True,True,False,1.0,0,55.699999999999996,10,1,loss_fn,huber
128,2,relu,mae,adam,0.001,0.9,0.995,64,100,True,True,False,1.0,0,55.699999999999996,10,1,loss_fn,mae
128,2,relu,mse,sgd,0.001,0.9,0.995,64,100,True,True,False,1.0,0,26.6,10,1,optimizer,sgd
128,2,relu,mse,rmsprop,0.001,0.9,0.995,64,100,True,True,False,1.0,0,55.699999999999996,10,1,optimizer,rmsprop
32,2,relu,mse,adam,0.001,0.9,0.995,64,100,True,True,False,1.0,0,55.699999999999996,10,1,hidden_size,32
64,2,relu,mse,adam,0.001,0.9,0.995,64,100,True,True,False,1.0,0,55.699999999999996,10,1,hidden_size,64
256,2,relu,mse,adam,0.001,0.9,0.995,64,100,True,True,False,1.0,0,55.699999999999996,10,1,hidden_size,256
128,1,relu,mse,adam,0.001,0.9,0.995,64,100,True,True,False,1.0,0,55.699999999999996,10,1,num_layers,1
128,3,relu,mse,adam,0.001,0.9,0.995,64,100,True,True,False,1.0,0,55.699999999999996,10,1,num_layers,3
128,2,relu,mse,adam,0.0001,0.9,0.995,64,100,True,True,False,1.0,0,55.699999999999996,10,1,lr,0.0001
128,2,relu,mse,adam,0.0005,0.9,0.995,64,100,True,True,False,1.0,0,55.699999999999996,10,1,lr,0.0005
128,2,relu,mse,adam,0.005,0.9,0.995,64,100,True,True,False,1.0,0,55.699999999999996,10,1,lr,0.005
128,2,relu,mse,adam,0.001,0.85,0.995,64,100,True,True,False,1.0,0,55.699999999999996,10,1,gamma,0.85
128,2,relu,mse,adam,0.001,0.95,0.995,64,100,True,True,False,1.0,0,55.699999999999996,10,1,gamma,0.95
128,2,relu,mse,adam,0.001,0.99,0.995,64,100,True,True,False,1.0,0,55.699999999999996,10,1,gamma,0.99
128,2,relu,mse,adam,0.001,0.9,0.99,64,100,True,True,False,1.0,0,55.699999999999996,10,1,epsilon_decay,0.99
128,2,relu,mse,adam,0.001,0.9,0.999,64,100,True,True,False,1.0,0,55.699999999999996,10,1,epsilon_decay,0.999
128,2,relu,mse,adam,0.001,0.9,0.995,32,100,True,True,False,1.0,0,55.699999999999996,10,1,batch_size,32
128,2,relu,mse,adam,0.001,0.9,0.995,128,100,True,True,False,1.0,0,55.699999999999996,10,1,batch_size,128
128,2,relu,mse,adam,0.001,0.9,0.995,64,50,True,True,False,1.0,0,55.699999999999996,10,1,target_update,50
128,2,relu,mse,adam,0.001,0.9,0.995,64,200,True,True,False,1.0,0,55.699999999999996,10,1,target_update,200
128,2,relu,mse,adam,0.001,0.9,0.995,64,100,False,True,False,1.0,0,55.699999999999996,10,1,use_target_network,False
128,2,relu,mse,adam,0.001,0.9,0.995,64,100,True,False,False,1.0,0,55.699999999999996,10,1,use_replay,False
128,2,relu,mse,adam,0.001,0.9,0.995,64,100,True,True,True,1.0,0,55.699999999999996,10,1,double_dqn,True
